Player,Game,Score,Accuracy,PlayTimeMinutes,SkillTier
PixelPete,Pac-Man,111751,82,44,Pro Gamer
RetroRider,Space Invaders,148937,88,41,Grandmaster
PixelPete,Donkey Kong,152337,64,32,Grandmaster
RetroRider,Pac-Man,15890,61,26,Novice
KongKiller,Galaga,12958,72,6,Novice
BlipBlop,Galaga,72043,100,15,Casual
RetroRider,Donkey Kong,134181,82,23,Grandmaster
ChompQueen,Donkey Kong,90212,62,21,Pro Gamer
SegaSam,Space Invaders,54334,94,32,Casual
SegaSam,Galaga,69267,97,21,Casual
KongKiller,Galaga,51656,94,37,Casual
RetroRider,Frogger,97597,97,21,Pro Gamer
KongKiller,Space Invaders,81648,62,35,Pro Gamer
KongKiller,Space Invaders,96987,95,11,Pro Gamer
NeoGeo,Frogger,108102,88,3,Pro Gamer
PixelPete,Galaga,21154,86,43,Novice
SegaSam,Galaga,17537,76,45,Novice
ChompQueen,Space Invaders,57140,65,5,Casual
PixelPete,Space Invaders,5658,99,43,Novice
RetroRider,Space Invaders,19274,66,20,Novice
SegaSam,Pac-Man,64446,75,29,Casual
RetroRider,Space Invaders,102540,90,27,Pro Gamer
NeoGeo,Space Invaders,89396,75,35,Pro Gamer
RetroRider,Donkey Kong,19824,61,41,Novice
NeoGeo,Galaga,8630,61,39,Novice
BlipBlop,Donkey Kong,139814,86,34,Grandmaster
RetroRider,Frogger,124245,94,38,Grandmaster
PixelPete,Space Invaders,154765,67,33,Grandmaster
RetroRider,Pac-Man,95276,64,11,Pro Gamer
SegaSam,Space Invaders,72374,64,22,Casual
RetroRider,Pac-Man,144270,79,38,Grandmaster
BlipBlop,Frogger,126783,73,23,Grandmaster
RetroRider,Galaga,151907,66,6,Grandmaster
ChompQueen,Frogger,111395,92,20,Pro Gamer
NeoGeo,Galaga,83237,90,19,Pro Gamer
RetroRider,Space Invaders,55349,87,34,Casual
ChompQueen,Space Invaders,8049,64,12,Novice
RetroRider,Frogger,94052,76,35,Pro Gamer
RetroRider,Frogger,10529,78,46,Novice
BlipBlop,Frogger,7456,96,20,Novice
